name,location,website,facebook,instagram
13 Coins,Bangkok,https://www.13coins-gym.com/,https://www.facebook.com/13coinsgym/,
96 Penang,Bangkok,,https://www.facebook.com/96-Penang-Muay-Thai-Gym-226517380742619/,
AKA Thailand,Phuket,https://akathailand.com/,https://www.facebook.com/akathailandgym/,https://www.instagram.com/akathailand/
Attachai,Bangkok,https://attachaimuaythai.com/sport-gym/,https://www.facebook.com/ATTACHAIMUAYTHAIGYM/,https://www.instagram.com/attachaimuaythai/
Bull,Krabi,https://bullmuaythaikrabi.com/,https://www.facebook.com/bullmuaythaikrabi/,https://www.instagram.com/bullmuaythai_aonang/
Burklerk,Lampang,,https://www.facebook.com/BURKLERK-GYM-255494501149793/,https://www.instagram.com/burklerk.gym/
Charn Chai,Pai,https://www.charnchaimuaythai.com/,https://www.facebook.com/charnchaimuaythaigym/,https://www.instagram.com/charnchaimuaythai/
Chiangmai Muay Thai,Chiang Mai,https://chiangmai-muay-thai-gym.business.site/,https://www.facebook.com/Chiangmai.Muay.Thai.Gym/,https://www.instagram.com/chiangmaimuaythaigym/
Chuwattana,Bangkok,,https://www.facebook.com/pages/Chuwattana-Muay-Thai-Gym/152488104818774,https://www.instagram.com/chuwattana_gym/
Dejrat,Bangkok,,https://www.facebook.com/DejratMuayThaiAcademy/,
Diamond,Koh Phangan,http://diamondmuaythai.com/,https://www.facebook.com/DiamondMuayThai/,https://www.instagram.com/diamondmuaythaicamp/
Dragon,Phuket,http://www.phuketdragonmuaythai.com/,https://www.facebook.com/dragonmuaythai/,https://www.instagram.com/pkdragonmuaythai/
Eagle,Phuket,http://www.eaglemuaythaiphuket.com/,https://www.facebook.com/eaglemuaythaiphuket/,https://www.instagram.com/eagle_muaythai/
Elite Fight Club,Bangkok,http://www.elitefightclub.com/,https://www.facebook.com/elitefightclubbkk/,https://www.instagram.com/elitefightclubbkk/
Emerald,Krabi,https://www.emerald-gym.com/?ertthndxbcvs=yes,https://www.facebook.com/EmeraldGymKrabi/,https://www.instagram.com/emeraldmuaythaigym/
Eminent Air,Bangkok,http://www.eminentgym.com/,https://www.facebook.com/eminentairboxinggym/,https://www.instagram.com/eminentairboxinggym/
FA Group,Bangkok,,https://www.facebook.com/pages/Muay-Thai-Fa-Group/1869150339992694,https://www.instagram.com/fagroup_muaythai/
Fairtex Pattaya,Pattaya,https://www.fairtex.com/training/muay-thai,https://www.facebook.com/fairtex.muaythai.pattaya/,https://www.instagram.com/fairtextrainingcenter/
